Date, Unread, Inbox Total, Deleted Total
2014-01-10 17:15:05, 272, 1447, 1400
2014-01-10 17:20:05, 272, 1447, 1400
2014-01-10 17:25:07, 272, 1447, 1400
2014-01-10 17:30:06, 272, 1447, 1400
2014-01-10 17:35:06, 269, 1444, 1403
2014-01-10 17:40:04, 269, 1444, 1403
2014-01-10 17:45:04, 268, 1443, 1404
2014-01-10 17:50:05, 268, 1443, 1404
2014-01-10 17:55:04, 268, 1443, 1404
2014-01-10 18:00:06, 268, 1443, 1404
2014-01-10 18:05:04, 268, 1443, 1404
2014-01-10 18:10:06, 270, 1445, 1404
2014-01-10 18:15:06, 271, 1446, 1404
2014-01-10 18:20:06, 271, 1446, 1404
2014-01-10 18:25:04, 271, 1446, 1404
2014-01-10 18:30:06, 269, 1446, 1404
2014-01-10 18:35:04, 269, 1446, 1404
2014-01-10 18:40:08, 269, 1446, 1404
2014-01-10 18:45:04, 269, 1446, 1404
2014-01-10 18:50:03, 269, 1446, 1404
2014-01-10 18:55:05, 268, 1444, 1406
2014-01-10 19:00:04, 268, 1444, 1406
2014-01-10 19:05:05, 268, 1444, 1406
2014-01-10 19:10:05, 269, 1445, 1406
2014-01-10 19:15:05, 269, 1445, 1406
2014-01-10 19:20:06, 269, 1445, 1406
2014-01-10 19:25:07, 269, 1445, 1406
2014-01-10 19:30:04, 269, 1445, 1406
2014-01-10 19:35:06, 269, 1445, 1406
2014-01-10 19:40:05, 269, 1445, 1406
2014-01-10 19:45:06, 269, 1445, 1406
2014-01-10 19:50:04, 269, 1445, 1406
2014-01-10 19:55:06, 269, 1445, 1406
2014-01-10 20:00:04, 269, 1445, 1406
2014-01-10 20:05:04, 270, 1446, 1406
2014-01-10 20:10:05, 270, 1446, 1406
2014-01-10 20:15:04, 269, 1446, 1406
2014-01-10 20:20:06, 269, 1446, 1406
2014-01-10 20:25:04, 269, 1446, 1406
2014-01-10 20:30:08, 269, 1446, 1406
2014-01-10 20:35:03, 269, 1446, 1406
2014-01-10 20:40:05, 269, 1446, 1406
2014-01-10 20:45:04, 269, 1446, 1406
2014-01-10 20:50:05, 269, 1446, 1406
2014-01-10 20:55:04, 269, 1446, 1406
